Land,Year,Series,Value
Kuwait,2005,Arable land (thousand hectares),11
Kuwait,2005,Permanent crops (thousand hectares),3
Kuwait,2005,Forest cover (thousand hectares),5.55
Kuwait,2005,Arable land (% of total land area),0.6173
Kuwait,2005,Permanent crops (% of total land area),0.1684
Kuwait,2005,Forest cover (% of total land area),0.3114
Kuwait,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),30.9582
Kuwait,2010,Land area (thousand hectares),1782
Kuwait,2010,Arable land (thousand hectares),10
Kuwait,2010,Permanent crops (thousand hectares),6
Kuwait,2010,Forest cover (thousand hectares),6.25
Kuwait,2010,Arable land (% of total land area),0.5612
Kuwait,2010,Permanent crops (% of total land area),0.3367
Kuwait,2010,Forest cover (% of total land area),0.3507
Kuwait,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),30.9582
Kuwait,2017,Land area (thousand hectares),1782
Kuwait,2017,Arable land (thousand hectares),8.6
Kuwait,2017,Permanent crops (thousand hectares),6.8
Kuwait,2017,Forest cover (thousand hectares),6.25
Kuwait,2017,Arable land (% of total land area),0.4826
Kuwait,2017,Permanent crops (% of total land area),0.3816
Kuwait,2017,Forest cover (% of total land area),0.3507
Kuwait,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),51.6498
Kuwait,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),51.6498
Kyrgyzstan,2005,Land area (thousand hectares),19180
Kyrgyzstan,2005,Arable land (thousand hectares),1284
Kyrgyzstan,2005,Permanent crops (thousand hectares),72
Kyrgyzstan,2005,Forest cover (thousand hectares),869.3
Kyrgyzstan,2005,Arable land (% of total land area),6.6945
Kyrgyzstan,2005,Permanent crops (% of total land area),0.3754
Kyrgyzstan,2005,Forest cover (% of total land area),4.5323
Kyrgyzstan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),25.7478
Kyrgyzstan,2010,Land area (thousand hectares),19180
Kyrgyzstan,2010,Arable land (thousand hectares),1276.2
Kyrgyzstan,2010,Permanent crops (thousand hectares),74.2
Kyrgyzstan,2010,Forest cover (thousand hectares),677
Kyrgyzstan,2010,Arable land (% of total land area),6.6538
Kyrgyzstan,2010,Permanent crops (% of total land area),0.3869
Kyrgyzstan,2010,Forest cover (% of total land area),3.5297
Kyrgyzstan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),25.7478
Kyrgyzstan,2017,Land area (thousand hectares),19180
Kyrgyzstan,2017,Arable land (thousand hectares),1287.8
Kyrgyzstan,2017,Permanent crops (thousand hectares),76
Kyrgyzstan,2017,Forest cover (thousand hectares),637
Kyrgyzstan,2017,Arable land (% of total land area),6.7143
Kyrgyzstan,2017,Permanent crops (% of total land area),0.3962
Kyrgyzstan,2017,Forest cover (% of total land area),3.3212
Kyrgyzstan,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),25.7478
Kyrgyzstan,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),25.7478
Lao People's Dem. Rep.,2005,Land area (thousand hectares),23080
Lao People's Dem. Rep.,2005,Arable land (thousand hectares),1150
Lao People's Dem. Rep.,2005,Permanent crops (thousand hectares),85
Lao People's Dem. Rep.,2005,Forest cover (thousand hectares),16869.71
Lao People's Dem. Rep.,2005,Arable land (% of total land area),4.9827
Lao People's Dem. Rep.,2005,Permanent crops (% of total land area),0.3683
Lao People's Dem. Rep.,2005,Forest cover (% of total land area),73.0923
Lao People's Dem. Rep.,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),44.0417
Lao People's Dem. Rep.,2010,Land area (thousand hectares),23080
Lao People's Dem. Rep.,2010,Arable land (thousand hectares),1400
Lao People's Dem. Rep.,2010,Permanent crops (thousand hectares),130
Lao People's Dem. Rep.,2010,Forest cover (thousand hectares),17815.56
Lao People's Dem. Rep.,2010,Arable land (% of total land area),6.0659
Lao People's Dem. Rep.,2010,Permanent crops (% of total land area),0.5633
Lao People's Dem. Rep.,2010,Forest cover (% of total land area),77.1905
Lao People's Dem. Rep.,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),44.0417
Lao People's Dem. Rep.,2017,Land area (thousand hectares),23080
Lao People's Dem. Rep.,2017,Arable land (thousand hectares),1555
Lao People's Dem. Rep.,2017,Permanent crops (thousand hectares),169
Lao People's Dem. Rep.,2017,Forest cover (thousand hectares),18761.41
Lao People's Dem. Rep.,2017,Arable land (% of total land area),6.7374
Lao People's Dem. Rep.,2017,Permanent crops (% of total land area),0.7322
Lao People's Dem. Rep.,2017,Forest cover (% of total land area),81.2886
Lao People's Dem. Rep.,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),44.0417
Lao People's Dem. Rep.,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),44.0417
Latvia,2005,Land area (thousand hectares),6219.6
Latvia,2005,Arable land (thousand hectares),1092
Latvia,2005,Permanent crops (thousand hectares),13
Latvia,2005,Forest cover (thousand hectares),3297
Latvia,2005,Arable land (% of total land area),17.5574
Latvia,2005,Permanent crops (% of total land area),0.209
Latvia,2005,Forest cover (% of total land area),53.0098
Latvia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),90.9503
Latvia,2010,Land area (thousand hectares),6224
Latvia,2010,Arable land (thousand hectares),1173
Latvia,2010,Permanent crops (thousand hectares),7
Latvia,2010,Forest cover (thousand hectares),3354
Latvia,2010,Arable land (% of total land area),18.8464
Latvia,2010,Permanent crops (% of total land area),0.1125
Latvia,2010,Forest cover (% of total land area),53.8882
Latvia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),97.2208
Latvia,2017,Land area (thousand hectares),6211
Latvia,2017,Arable land (thousand hectares),1290
Latvia,2017,Permanent crops (thousand hectares),8
Latvia,2017,Forest cover (thousand hectares),3356
Latvia,2017,Arable land (% of total land area),20.7696
Latvia,2017,Permanent crops (% of total land area),0.1288
Latvia,2017,Forest cover (% of total land area),54.0332
Latvia,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),97.2209
Latvia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),97.2209
Lebanon,2005,Land area (thousand hectares),1023
Lebanon,2005,Arable land (thousand hectares),141.7
Lebanon,2005,Permanent crops (thousand hectares),141.3
Lebanon,2005,Forest cover (thousand hectares),136.5
Lebanon,2005,Arable land (% of total land area),13.8514
Lebanon,2005,Permanent crops (% of total land area),13.8123
Lebanon,2005,Forest cover (% of total land area),13.3431
Lebanon,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),11.4187
Lebanon,2010,Land area (thousand hectares),1023
Lebanon,2010,Arable land (thousand hectares),114
Lebanon,2010,Permanent crops (thousand hectares),126
Lebanon,2010,Forest cover (thousand hectares),136.9
Lebanon,2010,Arable land (% of total land area),11.1437
Lebanon,2010,Permanent crops (% of total land area),12.3167
Lebanon,2010,Forest cover (% of total land area),13.3822
Lebanon,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),11.4231
Lebanon,2017,Land area (thousand hectares),1023
Lebanon,2017,Arable land (thousand hectares),132
Lebanon,2017,Permanent crops (thousand hectares),126
Lebanon,2017,Forest cover (thousand hectares),137.3
Lebanon,2017,Arable land (% of total land area),12.9032
Lebanon,2017,Permanent crops (% of total land area),12.3167
Lebanon,2017,Forest cover (% of total land area),13.4213
Lebanon,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),12.3445
Lebanon,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),12.3445
Lesotho,2005,Land area (thousand hectares),3036
Lesotho,2005,Arable land (thousand hectares),323
Lesotho,2005,Permanent crops (thousand hectares),4
Lesotho,2005,Forest cover (thousand hectares),43
Lesotho,2005,Arable land (% of total land area),10.639
Lesotho,2005,Permanent crops (% of total land area),0.1318
Lesotho,2005,Forest cover (% of total land area),1.4163
Lesotho,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),16.4302
Lesotho,2010,Land area (thousand hectares),3036
Lesotho,2010,Arable land (thousand hectares),322
Lesotho,2010,Permanent crops (thousand hectares),4
Lesotho,2010,Forest cover (thousand hectares),44
Lesotho,2010,Arable land (% of total land area),10.6061
Lesotho,2010,Permanent crops (% of total land area),0.1318
Lesotho,2010,Forest cover (% of total land area),1.4493
Lesotho,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),16.4302
Lesotho,2017,Land area (thousand hectares),3036
Lesotho,2017,Arable land (thousand hectares),414
Lesotho,2017,Permanent crops (thousand hectares),4
Lesotho,2017,Forest cover (thousand hectares),49
Lesotho,2017,Arable land (% of total land area),13.6364
Lesotho,2017,Permanent crops (% of total land area),0.1318
Lesotho,2017,Forest cover (% of total land area),1.614
Lesotho,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),16.4302
Lesotho,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),16.4302
Liberia,2005,Land area (thousand hectares),9632
Liberia,2005,Arable land (thousand hectares),400
Liberia,2005,Permanent crops (thousand hectares),215
Liberia,2005,Forest cover (thousand hectares),4479
Liberia,2005,Arable land (% of total land area),4.1528
Liberia,2005,Permanent crops (% of total land area),2.2321
Liberia,2005,Forest cover (% of total land area),46.5012
Liberia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),15.7874
Liberia,2010,Land area (thousand hectares),9632
Liberia,2010,Arable land (thousand hectares),480
Liberia,2010,Permanent crops (thousand hectares),180
Liberia,2010,Forest cover (thousand hectares),4329
Liberia,2010,Arable land (% of total land area),4.9834
Liberia,2010,Permanent crops (% of total land area),1.8688
Liberia,2010,Forest cover (% of total land area),44.9439
Liberia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),15.7874
Liberia,2017,Land area (thousand hectares),9632
Liberia,2017,Arable land (thousand hectares),500
Liberia,2017,Permanent crops (thousand hectares),210
Liberia,2017,Forest cover (thousand hectares),4179
Liberia,2017,Arable land (% of total land area),5.191
Liberia,2017,Permanent crops (% of total land area),2.1802
Liberia,2017,Forest cover (% of total land area),43.3866
Liberia,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),15.7874
Liberia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),15.7874
Libya,2005,Land area (thousand hectares),175954
Libya,2005,Arable land (thousand hectares),1750
Libya,2005,Permanent crops (thousand hectares),335
Libya,2005,Forest cover (thousand hectares),217
Libya,2005,Arable land (% of total land area),0.9946
Libya,2005,Permanent crops (% of total land area),0.1904
Libya,2005,Forest cover (% of total land area),0.1233
Libya,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0
Libya,2010,Land area (thousand hectares),175954
Libya,2010,Arable land (thousand hectares),1716
Libya,2010,Permanent crops (thousand hectares),335
Libya,2010,Forest cover (thousand hectares),217
Libya,2010,Arable land (% of total land area),0.9753
Libya,2010,Permanent crops (% of total land area),0.1904
Libya,2010,Forest cover (% of total land area),0.1233
Libya,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0
Libya,2017,Land area (thousand hectares),175954
Libya,2017,Arable land (thousand hectares),1720
Libya,2017,Permanent crops (thousand hectares),330
Libya,2017,Forest cover (thousand hectares),217
Libya,2017,Arable land (% of total land area),0.9775
Libya,2017,Permanent crops (% of total land area),0.1875
Libya,2017,Forest cover (% of total land area),0.1233
Libya,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),0
Libya,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),0
Liechtenstein,2005,Land area (thousand hectares),16
Liechtenstein,2005,Arable land (thousand hectares),3.9
Liechtenstein,2005,Forest cover (thousand hectares),6.9
Liechtenstein,2005,Arable land (% of total land area),24.375
